Spieltag;Verein;Status;Spieler;Punkte;RoteKarte;GelbRoteKarte;Vorlagen;Tore;SpielerDesSpiels
1;1. FC Union Berlin;Start;Raab ;4;0;0;0;0;0
1;1. FC Union Berlin;Start;Querfeld;11;0;0;1;1;0
1;1. FC Union Berlin;Start;Juranovic;12;0;0;2;0;0
1;1. FC Union Berlin;Start;van den Bosch;4;0;0;0;0;0
1;1. FC Union Berlin;Start;Rothe;4;0;0;0;0;0
1;1. FC Union Berlin;Start;Kemlein;2;0;0;0;0;0
1;1. FC Union Berlin;Start;Khedira;4;0;0;0;0;0
1;1. FC Union Berlin;Start;Aebischer;2;0;0;0;0;0
1;1. FC Union Berlin;Start;Schäfer;0;0;0;0;0;0
1;1. FC Union Berlin;Start;Ljubicic;0;0;0;0;0;0
1;1. FC Union Berlin;Start;Latte Lath;11;0;0;0;1;0
1;1. FC Union Berlin;Bank;Jeong;2;0;0;0;0;0
1;1. FC Union Berlin;Bank;Skarke;12;0;0;0;1;0
1;1. FC Union Berlin;Bank;Burcu;0;0;0;0;0;0
1;1. FC Union Berlin;Bank;Haberer;2;0;0;0;0;0
1;1. FC Union Berlin;Bank;Köhn;2;0;0;0;0;0
1;1. FC Union Berlin;Teampunkte;;72;;;;;
1;VfB Stuttgart;Start;Bredlow;8;0;0;0;0;0
1;VfB Stuttgart;Start;Hendriks;-2;0;0;0;0;0
1;VfB Stuttgart;Start;Mittelstädt;2;0;0;0;0;0
1;VfB Stuttgart;Start;Chabot;2;0;0;0;0;0
1;VfB Stuttgart;Start;Jeltsch;2;0;0;0;0;0
1;VfB Stuttgart;Start;Vagnoman;7;0;0;0;1;0
1;VfB Stuttgart;Start;Stiller;0;0;0;0;0;0
1;VfB Stuttgart;Start;Prömel;2;0;0;0;0;0
1;VfB Stuttgart;Start;Tomas;2;0;0;0;0;0
1;VfB Stuttgart;Start;Undav;-2;0;0;0;0;0
1;VfB Stuttgart;Start;Pejcinovic;0;0;0;0;0;0
1;VfB Stuttgart;Bank;Leweling;0;0;0;0;0;0
1;VfB Stuttgart;Bank;Demirovic;-2;0;0;0;0;0
1;VfB Stuttgart;Bank;El Khannouss;2;0;0;0;0;0
1;VfB Stuttgart;Bank;Stergiou;2;0;0;0;0;0
1;VfB Stuttgart;Bank;Chema;2;0;0;0;0;0
1;VfB Stuttgart;Teampunkte;;25;;;;;
1;FC Schalke 04;Start;Karius;6;0;0;0;0;0
1;FC Schalke 04;Start;Kurucay;6;0;0;0;0;0
1;FC Schalke 04;Start;Katic;2;0;0;0;0;0
1;FC Schalke 04;Start;T. Becker;2;0;0;0;0;0
1;FC Schalke 04;Start;V. Becker;2;0;0;0;0;0
1;FC Schalke 04;Start;Schallenberg;-8;1;0;0;0;0
1;FC Schalke 04;Start;Ljubicic;2;0;0;0;0;0
1;FC Schalke 04;Start;El-Faouzi;2;0;0;0;0;0
1;FC Schalke 04;Start;Sylla;0;0;0;0;0;0
1;FC Schalke 04;Start;Aouchiche;2;0;0;0;0;0
1;FC Schalke 04;Start;Adamu;0;0;0;0;0;0
1;FC Schalke 04;Bank;Ayhan;2;0;0;0;0;0
1;FC Schalke 04;Bank;Dina Ebimbe;0;0;0;0;0;0
1;FC Schalke 04;Bank;Wöber;-4;0;0;0;0;0
1;FC Schalke 04;Bank;Gosens;-2;0;0;0;0;0
1;FC Schalke 04;Bank;Dzeko;2;0;0;0;0;0
1;FC Schalke 04;Teampunkte;;14;;;;;
1;SC Freiburg;Start;Backhaus;2;0;0;0;0;0
1;SC Freiburg;Start;Lienhart;6;0;0;0;0;0
1;SC Freiburg;Start;Ginter;8;0;0;0;1;0
1;SC Freiburg;Start;Kübler;8;0;0;0;0;0
1;SC Freiburg;Start;Makengo;4;0;0;0;0;0
1;SC Freiburg;Start;Eggestein;8;0;0;0;0;0
1;SC Freiburg;Start;Engelhardt;6;0;0;0;0;0
1;SC Freiburg;Start;Suzuki;29;0;0;0;3;1
1;SC Freiburg;Start;Beste;10;0;0;0;1;0
1;SC Freiburg;Start;Scherhant;10;0;0;0;1;0
1;SC Freiburg;Start;Matanovic;17;0;0;1;1;0
1;SC Freiburg;Bank;Höler;2;0;0;0;0;0
1;SC Freiburg;Bank;Rosenfelder;2;0;0;0;0;0
1;SC Freiburg;Bank;Treu;2;0;0;0;0;0
1;SC Freiburg;Bank;Goto;2;0;0;0;0;0
1;SC Freiburg;Bank;Irié;0;0;0;0;0;0
1;SC Freiburg;Teampunkte;;116;;;;;
1;FC Augsburg;Start;Dahmen;10;0;0;0;0;0
1;FC Augsburg;Start;Matsima;8;0;0;0;0;0
1;FC Augsburg;Start;Brackelmann;4;0;0;0;0;0
1;FC Augsburg;Start;Behrens;6;0;0;0;0;0
1;FC Augsburg;Start;Banks;8;0;0;0;0;0
1;FC Augsburg;Start;Rieder;12;0;0;1;0;0
1;FC Augsburg;Start;A. Kade;21;0;0;1;1;1
1;FC Augsburg;Start;Fellhauer;4;0;0;0;0;0
1;FC Augsburg;Start;M. Wolf;6;0;0;0;0;0
1;FC Augsburg;Start;Gregoritsch;11;0;0;0;1;0
1;FC Augsburg;Start;Massengo;6;0;0;0;0;0
1;FC Augsburg;Bank;Kömür;2;0;0;0;0;0
1;FC Augsburg;Bank;Ribeiro;5;0;0;1;0;0
1;FC Augsburg;Bank;Keitel;2;0;0;0;0;0
1;FC Augsburg;Bank;Gouweleeuw;2;0;0;0;0;0
1;FC Augsburg;Bank;Woo-Seol;4;0;0;1;0;0
1;FC Augsburg;Teampunkte;;111;;;;;
1;RB Leipzig;Start;Vandevoordt;12;0;0;0;0;0
1;RB Leipzig;Start;Raum;8;0;0;0;0;0
1;RB Leipzig;Start;Lukeba;6;0;0;0;0;0
1;RB Leipzig;Start;Orban;6;0;0;0;0;0
1;RB Leipzig;Start;Seiwald;6;0;0;0;0;0
1;RB Leipzig;Start;Baku;13;0;0;1;0;0
1;RB Leipzig;Start;Banzuzi;6;0;0;0;0;0
1;RB Leipzig;Start;Reitz;14;0;0;1;0;0
1;RB Leipzig;Start;Nusa;18;0;0;0;1;1
1;RB Leipzig;Start;Gruda;8;0;0;0;0;0
1;RB Leipzig;Start;Gomis;16;0;0;0;2;0
